County,State,Year Structure Built: 2000+,Year Structure Built: 1990 to 1999,Year Structure Built: 1980 to 1989,Year Structure Built: 1960 to 1979,Year Structure Built: 1940 to 1959,Year Structure Built: 1939 or earlier,0 Vehicles Available,1 Vehicles Available,2 Vehicles Available,3+ Vehicles Available
Autauga County,Alabama,22.4%,24.0%,17.3%,28.6%,4.9%,2.8%,5.4%,26.4%,40.9%,27.3%
Baldwin County,Alabama,28.6%,28.5%,14.8%,19.7%,5.8%,2.5%,3.3%,29.0%,44.9%,22.8%
Barbour County,Alabama,6.9%,20.8%,21.0%,30.4%,13.3%,7.6%,10.9%,34.0%,32.5%,22.7%
Bibb County,Alabama,6.1%,25.2%,17.4%,31.4%,10.9%,8.9%,5.5%,26.4%,37.7%,30.4%
Blount County,Alabama,15.6%,26.2%,16.9%,26.9%,10.2%,4.1%,3.4%,26.6%,36.5%,33.4%
Bullock County,Alabama,6.2%,14.0%,24.8%,25.0%,18.8%,11.2%,14.4%,33.6%,31.0%,21.0%
Butler County,Alabama,7.8%,22.6%,17.4%,28.1%,16.7%,7.3%,10.9%,30.6%,34.5%,24.0%
Calhoun County,Alabama,12.7%,16.4%,16.4%,30.1%,17.8%,6.6%,6.4%,32.4%,36.9%,24.2%
Chambers County,Alabama,8.1%,16.9%,14.9%,30.3%,17.5%,12.4%,8.2%,32.0%,36.3%,23.4%
Cherokee County,Alabama,10.5%,23.0%,19.6%,25.0%,15.1%,6.8%,4.0%,30.4%,41.4%,24.2%
Chilton County,Alabama,16.5%,23.7%,14.2%,27.8%,12.3%,5.5%,4.0%,29.8%,36.4%,29.8%
Choctaw County,Alabama,6.9%,20.3%,21.5%,30.5%,12.2%,8.6%,7.5%,29.8%,35.8%,26.9%
Clarke County,Alabama,3.1%,21.3%,17.1%,34.5%,16.7%,7.4%,9.6%,33.7%,33.5%,23.3%
Clay County,Alabama,10.8%,22.8%,17.3%,25.0%,12.0%,12.2%,6.2%,28.9%,31.4%,33.5%
Cleburne County,Alabama,10.8%,21.7%,18.9%,31.0%,11.2%,6.5%,5.5%,28.2%,36.1%,30.3%
Coffee County,Alabama,17.3%,18.5%,15.9%,33.6%,10.6%,4.1%,7.1%,31.6%,37.6%,23.7%
Colbert County,Alabama,10.7%,18.0%,13.5%,31.6%,20.4%,5.8%,6.0%,29.7%,38.3%,26.1%
Conecuh County,Alabama,4.2%,21.7%,18.5%,30.6%,16.8%,8.1%,8.9%,33.1%,33.9%,24.1%
Coosa County,Alabama,6.2%,21.8%,17.1%,29.6%,17.1%,8.2%,4.8%,28.1%,38.3%,28.8%
Covington County,Alabama,5.2%,16.3%,17.3%,32.4%,18.1%,10.6%,7.8%,30.7%,37.3%,24.2%
Crenshaw County,Alabama,8.7%,18.1%,12.7%,35.7%,15.3%,9.5%,7.1%,31.0%,34.3%,27.6%
Cullman County,Alabama,9.4%,21.2%,18.4%,30.0%,13.8%,7.1%,4.8%,27.8%,38.4%,29.0%
Dale County,Alabama,10.5%,16.1%,22.3%,35.1%,11.5%,4.6%,5.3%,33.0%,38.1%,23.7%
Dallas County,Alabama,5.8%,17.9%,13.0%,40.0%,15.8%,7.5%,14.6%,35.2%,29.0%,21.2%
DeKalb County,Alabama,8.0%,19.6%,19.0%,33.6%,12.5%,7.3%,5.1%,28.9%,39.2%,26.8%
Elmore County,Alabama,22.8%,27.6%,14.2%,23.4%,7.5%,4.5%,3.8%,27.2%,40.2%,28.7%
Escambia County,Alabama,6.6%,21.1%,14.6%,35.1%,17.8%,4.8%,6.9%,35.8%,33.7%,23.6%
Etowah County,Alabama,8.3%,15.4%,13.8%,31.3%,23.6%,7.6%,5.8%,31.9%,37.3%,25.0%
Fayette County,Alabama,6.2%,16.6%,19.5%,32.9%,15.9%,8.9%,6.7%,26.7%,39.0%,27.6%
Franklin County,Alabama,5.3%,18.0%,15.6%,37.1%,17.1%,6.9%,6.5%,28.6%,37.2%,27.6%
Geneva County,Alabama,5.7%,19.2%,17.6%,32.9%,15.5%,9.0%,4.1%,33.0%,39.1%,23.8%
Greene County,Alabama,5.6%,19.1%,22.3%,34.0%,13.4%,5.5%,12.7%,41.4%,29.6%,16.3%
Hale County,Alabama,7.3%,29.0%,16.3%,28.0%,12.2%,7.2%,11.8%,35.3%,30.6%,22.4%
Henry County,Alabama,6.6%,15.8%,19.5%,38.5%,12.1%,7.6%,7.6%,30.5%,33.6%,28.3%
Houston County,Alabama,13.4%,18.7%,14.8%,37.0%,12.7%,3.4%,6.5%,35.4%,38.3%,19.7%
Jackson County,Alabama,9.0%,21.0%,16.2%,35.0%,13.1%,5.7%,5.6%,29.4%,35.5%,29.5%
Jefferson County,Alabama,10.4%,12.0%,12.5%,34.6%,21.5%,9.0%,8.0%,34.9%,36.0%,21.1%
Lamar County,Alabama,6.3%,18.5%,18.2%,35.8%,14.2%,7.0%,5.0%,30.7%,40.0%,24.2%
Lauderdale County,Alabama,10.9%,20.2%,13.7%,32.2%,17.1%,6.1%,6.0%,30.3%,36.6%,27.2%
Lawrence County,Alabama,10.4%,25.2%,18.9%,28.7%,13.0%,3.8%,5.0%,26.2%,39.5%,29.4%
Lee County,Alabama,22.6%,29.5%,15.3%,23.3%,6.6%,2.6%,5.1%,34.1%,38.0%,22.8%
